OrderID,CustomerID,ProductID,TerritoryID,OrderDate,Quantity,UnitPrice,SalesAmount
ORD000001,CUST0380,P009,T004,2024-10-16,1,1200,1200
ORD000002,CUST0053,P022,T002,2023-08-17,2,85000,170000
ORD000003,CUST0016,P003,T004,2024-08-27,4,1200,4800
ORD000004,CUST0014,P018,T004,2023-08-27,5,65000,325000
ORD000005,CUST0113,P015,T005,2025-01-03,5,45000,225000
ORD000006,CUST0217,P011,T005,2023-01-07,2,85000,170000
ORD000007,CUST0053,P003,T007,2023-06-09,2,32000,64000
ORD000008,CUST0310,P009,T001,2023-04-10,3,32000,96000
ORD000009,CUST0064,P030,T007,2025-01-17,4,65000,260000
ORD000010,CUST0425,P021,T006,2023-03-22,5,32000,160000
ORD000011,CUST0036,P002,T004,2024-08-14,2,85000,170000
ORD000012,CUST0438,P008,T002,2025-03-02,3,1200,3600
ORD000013,CUST0326,P027,T006,2024-01-25,3,45000,135000
ORD000014,CUST0108,P022,T005,2023-06-16,3,32000,96000
ORD000015,CUST0326,P006,T004,2024-12-19,1,65000,65000
ORD000016,CUST0139,P030,T004,2023-06-17,4,45000,180000
ORD000017,CUST0118,P027,T001,2024-12-02,3,1200,3600
ORD000018,CUST0034,P007,T006,2023-11-20,4,32000,128000
ORD000019,CUST0330,P015,T003,2023-08-06,4,45000,180000
ORD000020,CUST0382,P018,T005,2023-09-29,2,7500,15000
ORD000021,CUST0299,P013,T006,2025-02-03,5,45000,225000
ORD000022,CUST0253,P003,T001,2023-08-13,2,65000,130000
ORD000023,CUST0082,P026,T007,2023-04-23,2,85000,170000
ORD000024,CUST0196,P020,T008,2024-09-02,1,45000,45000
ORD000025,CUST0441,P001,T002,2024-06-25,3,65000,195000
ORD000026,CUST0394,P021,T006,2024-11-29,5,32000,160000
ORD000027,CUST0081,P015,T001,2023-04-25,3,45000,135000
ORD000028,CUST0391,P006,T002,2025-01-09,3,65000,195000
ORD000029,CUST0260,P020,T004,2024-10-02,3,85000,255000
ORD000030,CUST0277,P025,T001,2023-06-06,3,7500,22500
